BIB;COD;ERG;FAN;GJAH;LUK;MYR;NUS;PKD;RAS;id
160;iii;www;80.0;iii;5.0;eee;800000.0;xxx;t;0
153;uuu;aaa;200.0;rrr;0.0;mmm;2000000.0;xxx;;1
5;iii;www;96.0;iii;19.0;hh;960000.0;hh;t;2
9;iii;www;0.0;iii;120.0;kkk;0.0;qqq;;3
40;iii;www;232.0;iii;0.0;mmm;2320000.0;xxx;f;4
8;iii;aaa;160.0;rrr;0.0;kkk;1600000.0;jjj;f;5
152;iii;www;276.0;iii;1.0;lll;2760000.0;lll;;6
176;iii;aaa;280.0;rrr;204.0;eee;2800000.0;jjj;;7
154;iii;www;220.0;iii;140.0;eee;2200000.0;xxx;;8
95;iii;www;320.0;iii;13.0;eee;3200000.0;jjj;;9
121;iii;www;280.0;iii;1.0;sss;2800000.0;jjj;f;10
155;iii;aaa;160.0;rrr;20.0;lll;1600000.0;lll;f;11
91;iii;aaa;340.0;rrr;0.0;sss;3400000.0;jjj;f;12
91;iii;www;120.0;iii;1.0;yyy;1200000.0;xxx;;13
91;iii;www;120.0;iii;1.0;yyy;1200000.0;jjj;t;14
19;iii;aaa;120.0;rrr;1.0;hh;1200000.0;hh;;15
125;iii;www;178.0;iii;0.0;kkk;1780000.0;ff;f;16
128;iii;www;120.0;iii;0.0;eee;1200000.0;xxx;f;17
37;iii;www;416.0;iii;21.0;eee;4160000.0;jjj;t;18
31;iii;www;180.0;iii;0.0;kkk;1800000.0;ff;f;19
25;iii;www;292.0;iii;0.0;fff;2920000.0;jjj;f;20
164;uuu;www;288.0;iii;0.0;ooo;2880000.0;xxx;;21
78;iii;aaa;;rrr;18.0;mmm;;xxx;;22
131;iii;aaa;80.0;rrr;0.0;eee;800000.0;xxx;;23
27;iii;aaa;200.0;rrr;456.0;kkk;2000000.0;ff;f;24
154;iii;www;120.0;iii;18.0;eee;1200000.0;xxx;f;25
50;uuu;www;240.0;iii;0.0;mmm;2400000.0;jjj;;26
10;iii;www;0.0;iii;33.0;yyy;0.0;jjj;;27
40;iii;www;300.0;iii;0.0;fff;3000000.0;xxx;;28
155;iii;www;160.0;iii;40.0;mmm;1600000.0;xxx;;29
163;iii;www;980.0;iii;0.0;ee;9800000.0;xxx;;30
171;iii;www;400.0;iii;9.0;kkk;4000000.0;xxx;;31
12;iii;www;100.0;iii;27.0;lll;1000000.0;lll;f;32
12;iii;www;100.0;iii;3.0;yyy;1000000.0;xxx;;33
8;iii;www;108.0;iii;98.0;sss;1080000.0;xxx;t;34
22;iii;aaa;188.0;rrr;0.0;ee;1880000.0;xxx;f;35
152;iii;www;221.0;iii;0.0;kkk;2210000.0;xxx;;36
174;iii;www;100.0;iii;0.0;ee;1000000.0;xxx;f;37
163;iii;aaa;0.0;rrr;0.0;ee;0.0;xxx;f;38
171;iii;www;333.0;iii;892.0;sss;3330000.0;jjj;;39
154;iii;www;300.0;iii;44.0;ee;3000000.0;xxx;;40
80;iii;www;88.0;iii;2000.0;ee;880000.0;jjj;t;41
2;iii;www;164.0;iii;31285.0;ttt;1640000.0;jjj;;42
176;iii;www;160.0;iii;5860.0;zzz;1600000.0;jjj;f;43
17;iii;aaa;160.0;rrr;5777.0;eee;1600000.0;xxx;;44
46;iii;www;225.0;iii;0.0;ooo;2250000.0;xxx;;45
19;iii;www;400.0;iii;5800.0;yyy;4000000.0;xxx;;46
145;iii;www;200.0;iii;40.0;sss;2000000.0;ppp;f;47
129;iii;www;0.0;iii;247.0;lll;0.0;hh;t;48
164;iii;www;312.0;iii;0.0;eee;3120000.0;xxx;t;49
99;iii;www;0.0;iii;560.0;sss;0.0;xxx;;50
34;iii;aaa;180.0;rrr;18027.0;eee;1800000.0;jjj;t;51
17;iii;aaa;393.0;rrr;0.0;ggg;3930000.0;jjj;;52
91;iii;www;29.0;iii;837.0;sss;290000.0;jjj;;53
13;iii;www;260.0;iii;0.0;sss;2600000.0;xxx;f;54
54;iii;aaa;52.0;rrr;1442.0;yyy;520000.0;xxx;;55
127;iii;aaa;0.0;rrr;13212.0;ggg;0.0;bbb;;56
60;iii;www;228.0;iii;0.0;sss;2280000.0;xxx;f;57
88;iii;www;0.0;iii;0.0;ggg;0.0;xxx;;58
151;iii;www;0.0;iii;15000.0;eee;0.0;ff;t;59
147;uuu;www;300.0;iii;0.0;eee;3000000.0;xxx;f;60
28;iii;aaa;0.0;rrr;0.0;eee;0.0;jjj;f;61
85;iii;www;30.0;iii;300.0;hh;300000.0;hh;;62
155;iii;www;0.0;iii;0.0;ee;0.0;jjj;;63
19;iii;aaa;370.0;rrr;560.0;ee;3700000.0;xxx;;64
158;iii;www;100.0;iii;960.0;lll;1000000.0;lll;;65
163;iii;www;0.0;iii;99.0;ee;0.0;xxx;t;66
155;iii;www;519.0;iii;1704.0;zzz;5190000.0;xxx;;67
68;iii;www;93.0;iii;0.0;ooo;930000.0;jjj;;68
27;iii;aaa;0.0;rrr;2.0;eee;0.0;xxx;f;69
167;iii;www;400.0;iii;0.0;ee;4000000.0;jjj;;70
13;iii;www;356.0;iii;0.0;mmm;3560000.0;xxx;;71
173;iii;www;600.0;iii;0.0;ggg;6000000.0;xxx;;72
36;iii;aaa;160.0;rrr;1058.0;eee;1600000.0;xxx;;73
168;uuu;www;0.0;iii;0.0;hh;0.0;hh;f;74
27;iii;aaa;280.0;rrr;0.0;yyy;2800000.0;xxx;;75
18;iii;www;200.0;iii;53.0;lll;2000000.0;lll;;76
172;iii;www;420.0;iii;283.0;yyy;4200000.0;xxx;;77
160;iii;www;120.0;iii;1.0;ooo;1200000.0;xxx;;78
56;iii;aaa;140.0;rrr;184.0;lll;1400000.0;xxx;;79
171;uuu;www;320.0;iii;0.0;ooo;3200000.0;xxx;;80
174;uuu;aaa;240.0;rrr;0.0;eee;2400000.0;xxx;f;81
142;iii;aaa;0.0;rrr;0.0;hh;0.0;hh;f;82
155;iii;aaa;180.0;rrr;4.0;hh;1800000.0;hh;f;83
106;iii;www;0.0;iii;0.0;kkk;0.0;xxx;;84
94;iii;www;0.0;iii;50.0;hh;0.0;hh;;85
17;iii;aaa;150.0;rrr;1.0;;1500000.0;;f;86
19;iii;www;180.0;iii;50.0;yyy;1800000.0;xxx;f;87
12;iii;aaa;0.0;rrr;225.0;eee;0.0;xxx;f;88
173;iii;www;300.0;iii;5.0;sss;3000000.0;jjj;t;89
6;uuu;www;280.0;iii;0.0;mmm;2800000.0;xxx;;90
31;iii;www;160.0;iii;25.0;hh;1600000.0;hh;f;91
4;iii;aaa;280.0;rrr;13.0;zzz;2800000.0;xxx;;92
35;iii;www;200.0;iii;4.0;hh;2000000.0;hh;;93
156;iii;aaa;200.0;rrr;1.0;eee;2000000.0;xxx;t;94
49;iii;aaa;200.0;rrr;1210.0;eee;2000000.0;ff;f;95
