SIS;TOK;UIN;VOL;WET;KAT;XIN;Class;id
1.75;t;17.92;f;1;ccc;t;n;0
0.29;f;16.92;f;0;ddd;f;n;1
0.0;f;31.25;f;1;ddd;t;n;2
0.335;f;48.17;f;0;ccc;f;n;3
0.5;t;32.33;f;0;ddd;f;n;4
0.5;t;34.83;f;0;ccc;f;n;5
0.0;t;26.17;f;0;ccc;f;n;6
0.25;f;21.17;f;0;ddd;f;n;7
0.29;f;28.92;f;0;ddd;f;n;8
1.085;f;18.17;f;0;ddd;f;n;9
1.5;f;24.75;f;0;ccc;f;n;10
0.0;f;31.75;f;0;ccc;f;n;11
0.165;f;18.17;f;0;ccc;f;n;12
1.0;f;18.25;f;1;ccc;t;n;13
0.165;f;17.58;f;1;ddd;t;n;14
1.5;f;51.83;f;0;ddd;f;n;15
0.0;t;26.67;f;0;ddd;f;n;16
0.5;f;31.42;t;0;ddd;f;n;17
2.29;t;25.67;f;1;ddd;t;n;18
0.0;f;33.75;f;0;ddd;f;n;19
5.75;t;32.75;f;0;ddd;f;n;20
0.25;f;39.83;t;0;ddd;f;n;21
0.165;f;40.33;f;2;ccc;t;n;22
4.0;f;35.25;t;0;ddd;f;n;23
4.5;f;24.33;f;0;ccc;f;n;24
1.0;f;15.75;f;0;ccc;f;n;25
1.0;t;45.0;f;0;ccc;f;n;26
0.04;f;30.42;f;3;ccc;t;n;27
3.0;t;;t;0;ccc;f;n;28
0.04;t;17.25;f;0;ddd;f;n;29
13.5;t;38.58;t;0;ccc;f;n;30
1.585;t;22.67;f;1;ddd;t;n;31
0.0;t;49.0;t;0;ccc;f;n;32
2.25;t;27.83;f;1;ddd;t;n;33
0.25;f;16.5;f;1;ccc;t;n;34
4.0;f;25.67;t;0;ddd;f;n;35
0.25;t;36.67;f;0;ddd;f;n;36
1.165;f;26.17;f;0;ddd;f;n;37
8.5;f;;t;0;ddd;f;n;38
2.75;f;47.25;t;1;ccc;t;y;39
0.375;f;33.67;f;0;ccc;f;y;40
14.0;t;45.0;t;1;ddd;t;y;41
6.5;t;33.17;t;0;ddd;f;y;42
1.04;t;25.0;t;0;ccc;f;y;43
1.0;t;26.67;t;5;ddd;t;y;44
0.125;t;48.5;t;0;ddd;f;y;45
0.04;t;37.42;t;0;ddd;f;y;46
0.21;f;18.0;f;0;ddd;f;y;47
0.0;f;56.5;t;15;ccc;t;y;48
1.46;t;25.75;t;5;ddd;t;y;49
0.415;t;22.58;t;5;ccc;t;y;50
2.04;t;33.17;t;1;ddd;t;y;51
0.04;t;32.0;t;0;ddd;f;y;52
1.75;f;40.83;t;0;ccc;f;y;53
0.125;t;59.67;t;0;ddd;f;y;54
3.165;t;42.5;t;0;ddd;f;y;55
0.0;f;28.08;t;0;ccc;f;y;56
